P06844	PF02269
P15108	PF13589
P15108	PF00183
Q12321	PF10744
P19158	PF00616
P40154	PF04795
P36017	PF00071
P40084	PF04181
P40554	PF09138
P40505	PF08598
P08018	PF00069
P32485	PF00069
Q04477	PF08286
P38111	PF02259
P38111	PF02260
P38111	PF00454
P38111	PF08064
P40359	PF05916
P04050	PF04997
P04050	PF00623
P04050	PF04983
P04050	PF05000
P04050	PF04998
P04050	PF04992
P04050	PF04990
P04050	PF05001
Q00539	PF00076
P27692	PF12815
P27692	PF00467
P27692	PF03439
P27692	PF11942
P35189	PF17035
P35189	PF03366
P47093	PF01423
P40018	PF01423
Q12495	PF21796
Q12495	PF12253
P20053	PF00400
P30665	PF00493
P30665	PF21128
P30665	PF17855
P30665	PF14551
P30665	PF17207
P53927	PF00076
P26449	PF00400
P40005	PF01920
P31688	PF00982
P31688	PF02358
P25808	PF00270
P25808	PF13959
P25808	PF00271
P22579	PF02671
P22579	PF16879
P22579	PF08295
P49956	PF00004
P38843	PF12271
P32561	PF00850
P24583	PF00130
P24583	PF00168
P24583	PF02185
P24583	PF00069
P24583	PF00433
P40414	PF00261
P46680	PF00400
P36037	PF09070
P36037	PF08324
P36037	PF00400
Q02908	PF00583
Q02908	PF04055
Q02908	PF16199
P32480	PF07569
P40499	PF08426
Q02884	PF05625
P52553	PF01920
P32361	PF00069
P32361	PF06479
P38074	PF06325
P38074	PF22528
P17629	PF11957
Q06639	PF00172
P32569	PF10156
Q05123	PF00022
Q08032	PF02724
P16370	PF01000
P16370	PF01193
P02829	PF02518
P02829	PF00183
P38883	PF08167
P38333	PF05291
P06103	PF08662
P06103	PF00076
P39081	PF04818
P39081	PF21936
P39081	PF11526
P39081	PF21940
Q12499	PF01798
Q12499	PF08156
P04147	PF00658
P04147	PF00076
P21242	PF00227
P21242	PF10584
P15274	PF19326
P34160	PF02854
P34160	PF09088
P34160	PF09090
P39015	PF09598
P13393	PF00352
P53173	PF03311
Q04491	PF00400
P25655	PF16415
P25655	PF16418
